None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
63.0,ཨེ་ཀ་ནཱ་ཐཱའི་དོན་འགྲེལ,None,None,None,None,None,Q2063,bstod tshogs, ka,295b5,bstod tshogs, ka,296a8,N853,bstod tshogs, ka,278a5,bstod tshogs, ka,279a3,C1120,bstod tshogs, ka ,295b5,bstod tshogs, ka ,296a6,GT64,bstod tshogs, ka,368b5,bstod tshogs, ka,369a6,None
320.0,རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད,D1191,rgyud 'grel, nga,236b1,rgyud 'grel, nga,321a7,Q2320,rgyud 'grel, tsa,349a6,rgyud 'grel, tsa,444a8,N1115,rgyud 'grel, tsa,336a5,rgyud 'grel, tsa,423a7,C1132,rgyud 'grel,  nga,239a7,rgyud 'grel,  nga,327a7,GT325,rgyud 'grel, tsa,441a3,rgyud 'grel, tsa,560a6,None
336.0,དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ,D1206,rgyud 'grel, ja,297a5,rgyud 'grel, ja,301b4,Q2336,rgyud 'grel, wa,335b7,rgyud 'grel, wa,341a5,N1131,rgyud 'grel, wa,334a6,rgyud 'grel, wa,339b4,C1147,rgyud 'grel,  ja,297a4,rgyud 'grel,  ja,301b4,GT341,rgyud 'grel, wa,419a1,rgyud 'grel, wa,425b5,None
424.0,དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ,D1268,rgyud 'grel, ta,28b4,rgyud 'grel, ta,34b7,Q2424,rgyud 'grel, za,34b8,rgyud 'grel, za,42b4,N1219,rgyud 'grel, za,31a7,rgyud 'grel, za,37b4,C1209,rgyud 'grel,  ta,28b4,rgyud 'grel,  ta,34b6,GT428,rgyud 'grel, za,42a1,rgyud 'grel, za,50b4,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,rgyud 'grel, ta,185b1,rgyud 'grel, ta,187a5,Q2409,rgyud 'grel, zha,585a4,rgyud 'grel, zha,587a7,N1104b,rgyud 'grel, zha,520b7,rgyud 'grel, zha,523a5,C1227,rgyud 'grel,  ta,143b3,rgyud 'grel, ta,144a2,GT413,rgyud 'grel, zha,692b1,rgyud 'grel, zha,695a5,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,(no check),None,None,None,Q5010,rgyud 'grel, 'u,133a2,rgyud 'grel, 'u,133b5,N1104c,rgyud 'grel, pha,401b,rgyud 'grel, pha,402b,C1227,(no check),None,None,None,GT3140,rgyud 'grel, lu,277b1,rgyud 'grel, lu,278a1,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,(no check),None,None,None,Q5142,rgyud 'grel, lu,169a6,rgyud 'grel, lu,169b3,N1204,rgyud 'grel, zha,468b2,rgyud 'grel, zha,469a2,C1227,(no check),None,None,None,GT3148,rgyud 'grel, lu,288b1,rgyud 'grel, lu,289b3,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,(no check),None,None,None,Q5150,rgyud 'grel, lu,174b3,rgyud 'grel, lu,175b2,N3799,rgyud 'grel, 'u,124a,rgyud 'grel, 'u,124b,C1227,(no check),None,None,None,GT413,(no check),None,None,None,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,(no check),None,None,None,Q2409,(no check),None,None,None,N3931,rgyud 'grel, lu,166a,rgyud 'grel, lu,166b,C1227,(no check),None,None,None,GT413,(no check),None,None,None,None
409.0,གཏོར་མའི་ཆོ་ག,D1286,(no check),None,None,None,Q2409,(no check),None,None,None,N3939,rgyud 'grel, lu,171b,rgyud 'grel, lu,172b,C1227,(no check),None,None,None,GT413,(no check),None,None,None,None
447.0,ཀྱེའི་རྡོ་རྗེ་ལས་བྱུང་བའི་ཀུ་རུ་ཀུལླེའི་མན་ངག་ཆེན་པོ་ལྔ,D1316,rgyud 'grel, ta,242b7,rgyud 'grel, ta,243b5,Q2447,rgyud 'grel, za,122b4,rgyud 'grel, za,123b3,N1242,rgyud 'grel, za,116a6,rgyud 'grel, za,117a5,C1257,rgyud 'grel, ta,246b7,rgyud 'grel, ta,247b5,GT451,rgyud 'grel, za,159a6,rgyud 'grel, za,160b4,None
159.0,དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས,D1442,rgyud 'grel, wa,242a4,rgyud 'grel, wa,243b6,Q2159,rgyud 'grel, na,282b2,rgyud 'grel, na,284b3,N949,rgyud 'grel, na,262b5,rgyud 'grel, na,264b5,C1383,rgyud 'grel, wa,243a4,rgyud 'grel, wa,244b5,GT161,rgyud 'grel, na,342b1,rgyud 'grel, na,344b6,None
205.0,མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ,D1490,rgyud 'grel, zha,186a1,rgyud 'grel, zha,202b3,Q2205,rgyud 'grel, pa,185b8,rgyud 'grel, pa,204a5,N995,rgyud 'grel, pa,195a6,rgyud 'grel, pa,215b1,C1431,rgyud 'grel, zha,185b5,rgyud 'grel, zha,203a7,GT207,rgyud 'grel, pa,247a1,rgyud 'grel, pa,270a6,None
206.0,དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས,D1491,rgyud 'grel, zha,202b3,rgyud 'grel, zha,204b5,Q2206,rgyud 'grel, pa,204a5,rgyud 'grel, pa,206b5,N996,rgyud 'grel, pa,215b1,rgyud 'grel, pa,218a5,C1432,rgyud 'grel, zha,203a7,rgyud 'grel, zha,205b3,GT208,rgyud 'grel, pa,271b1,rgyud 'grel, pa,274a6,None
207.0,དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ,D1492,rgyud 'grel, zha,204b5,rgyud 'grel, zha,207a3,Q2207,rgyud 'grel, pa,206b5,rgyud 'grel, pa,209b1,N997,rgyud 'grel, pa,218a5,rgyud 'grel, pa,221a4,C1433,rgyud 'grel, zha,205b3,rgyud 'grel, zha,208a3,GT209,rgyud 'grel, pa,275a1,rgyud 'grel, pa,278b2,None
