1,100,,,,,,,X,,,num,bo
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,150,བརྒྱ་ ལྔ་བཅུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,151,བརྒྱ་ ང་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,152,བརྒྱ་ ང་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,153,བརྒྱ་ ང་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,154,བརྒྱ་ ང་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,155,བརྒྱ་ ང་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,156,བརྒྱ་ ང་དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,157,བརྒྱ་ ང་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,158,བརྒྱ་ ང་བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,159,བརྒྱ་ ང་དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,160,བརྒྱ་ དྲུག་བཅུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,161,བརྒྱ་ རེ་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,162,བརྒྱ་ རེ་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,163,བརྒྱ་ རེ་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,164,བརྒྱ་ རེ་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,165,བརྒྱ་ རེ་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,166,བརྒྱ་ རེ་དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,167,བརྒྱ་ རེ་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,168,བརྒྱ་ རེ་བརྒྱད་
